dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,2.000000,0.000020,0.001970,0.098485,4.924242,0.000000
0.020000,1.000078,2.000000,0.000098,0.005909,0.196970,4.924242,0.000000
0.020000,1.000256,2.000000,0.000276,0.011818,0.295455,4.924242,0.000000
0.020000,1.000571,2.000000,0.000591,0.019697,0.393939,4.924242,0.000000
0.020000,1.001063,2.000000,0.001083,0.029545,0.492424,4.924242,0.000000
0.020000,1.001772,2.000000,0.001792,0.041364,0.590909,4.924242,0.000000
0.020000,1.002738,2.000000,0.002758,0.055152,0.689394,4.924242,0.000000
0.020000,1.003998,2.000000,0.004018,0.070909,0.787879,4.924242,0.000000
0.020000,1.005594,2.000000,0.005614,0.088636,0.886364,4.924242,0.000000
0.020000,1.007563,2.000000,0.007583,0.108333,0.984848,4.924242,0.000000
0.020000,1.009947,2.000000,0.009967,0.130000,1.083333,4.924242,0.000000
0.020000,1.012783,2.000000,0.012803,0.153636,1.181818,4.924242,0.000000
0.020000,1.016112,2.000000,0.016132,0.179242,1.280303,4.924242,0.000000
0.020000,1.019972,2.000000,0.019992,0.206818,1.378788,4.924242,0.000000
0.020000,1.024404,2.000000,0.024424,0.236364,1.477273,4.924242,0.000000
0.020000,1.029447,2.000000,0.029467,0.267879,1.575758,4.924242,0.000000
0.020000,1.035139,2.000000,0.035159,0.301364,1.674242,4.924242,0.000000
0.020000,1.041521,2.000000,0.041541,0.336818,1.772727,4.924242,0.000000
0.020000,1.048632,2.000000,0.048652,0.374242,1.871212,4.924242,0.000000
0.020000,1.056510,2.000000,0.056530,0.413636,1.969697,4.924242,0.000000
0.020000,1.065197,2.000000,0.065217,0.455000,2.068182,4.924242,0.000000
0.020000,1.074730,2.000000,0.074750,0.498333,2.166667,4.924242,0.000000
0.020000,1.085150,2.000000,0.085170,0.543636,2.265152,4.924242,0.000000
0.020000,1.096495,2.000000,0.096515,0.590909,2.363636,4.924242,0.000000
0.020000,1.108806,2.000000,0.108826,0.640152,2.462121,4.924242,0.000000
0.020000,1.122121,2.000000,0.122141,0.691364,2.560606,4.924242,0.000000
0.020000,1.136480,2.000000,0.136500,0.744545,2.659091,4.924242,0.000000
0.020000,1.151922,2.000000,0.151942,0.799697,2.757576,4.924242,0.000000
0.020000,1.168488,2.000000,0.168508,0.856818,2.856061,4.924242,0.000000
0.020000,1.186215,2.000000,0.186235,0.915909,2.954545,4.924242,0.000000
0.020000,1.205124,2.000000,0.205144,0.975000,2.954545,-0.000000,0.000000
0.020000,1.225215,2.000000,0.225235,1.034091,2.954545,0.000000,0.000000
0.020000,1.246488,2.000000,0.246508,1.093182,2.954545,-0.000000,0.000000
0.020000,1.268942,2.000000,0.268962,1.152273,2.954545,0.000000,0.000000
0.020000,1.292578,2.000000,0.292598,1.211364,2.954545,0.000000,0.000000
0.020000,1.317397,2.000000,0.317417,1.270455,2.954545,-0.000000,0.000000
0.020000,1.343397,2.000000,0.343417,1.329545,2.954545,0.000000,0.000000
0.020000,1.370578,2.000000,0.370598,1.388636,2.954545,-0.000000,0.000000
0.020000,1.398942,2.000000,0.398962,1.447727,2.954545,0.000000,0.000000
0.020000,1.428488,2.000000,0.428508,1.506818,2.954545,0.000000,0.000000
0.020000,1.459215,2.000000,0.459235,1.565909,2.954545,0.000000,0.000000
0.020000,1.491124,2.000000,0.491144,1.625000,2.954545,0.000000,0.000000
0.020000,1.524215,2.000000,0.524235,1.684091,2.954545,0.000000,0.000000
0.020000,1.558488,2.000000,0.558508,1.743182,2.954545,0.000000,0.000000
0.020000,1.593942,2.000000,0.593962,1.802273,2.954545,0.000000,0.000000
0.020000,1.630578,2.000000,0.630598,1.861364,2.954545,0.000000,0.000000
0.020000,1.668397,2.000000,0.668417,1.920455,2.954545,0.000000,0.000000
0.020000,1.707397,2.000000,0.707417,1.979545,2.954545,-0.000000,0.000000
0.020000,1.747578,2.000000,0.747598,2.038636,2.954545,-0.000000,0.000000
0.020000,1.788942,2.000000,0.788962,2.097727,2.954545,0.000000,0.000000
0.020000,1.831488,2.000000,0.831508,2.156818,2.954545,0.000000,0.000000
0.020000,1.875215,2.000000,0.875235,2.215909,2.954545,-0.000000,0.000000
0.020000,1.920124,2.000000,0.920144,2.275000,2.954545,0.000000,0.000000
0.020000,1.966215,2.000000,0.966235,2.334091,2.954545,0.000000,0.000000
0.020000,2.013488,2.000000,1.013508,2.393182,2.954545,-0.000000,0.000000
0.020000,2.061922,2.000000,1.061942,2.450303,2.856061,-4.924242,0.000000
0.020000,2.111480,2.000000,1.111500,2.505455,2.757576,-4.924242,0.000000
0.020000,2.162121,2.000000,1.162141,2.558636,2.659091,-4.924242,0.000000
0.020000,2.213806,2.000000,1.213826,2.609848,2.560606,-4.924242,0.000000
0.020000,2.266495,2.000000,1.266515,2.659091,2.462121,-4.924242,0.000000
0.020000,2.320150,2.000000,1.320170,2.706364,2.363636,-4.924242,0.000000
0.020000,2.374730,2.000000,1.374750,2.751667,2.265152,-4.924242,0.000000
0.020000,2.430197,2.000000,1.430217,2.795000,2.166667,-4.924242,0.000000
0.020000,2.486510,2.000000,1.486530,2.836364,2.068182,-4.924242,0.000000
